,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,1,3,70,2,119,40,3
1,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,4,1,2,0,1,317,0,1
2,House,Entire home/apt,Real Bed,2,30,moderate,2/16/2019 5:00,2/16/2019 5:00,8,3,5,51,1,80,15,6
3,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,0,1,361,130,2
4,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,96,1,115,0,1
5,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,70,1,135,0,1
6,Apartment,Entire home/apt,Real Bed,4,20,flexible,3/11/2019 4:00,3/11/2019 4:00,3,1,2,3,1,699,0,1
7,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,6,3,3,0,1,140,0,1
8,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,5,3,3,0,1.5,933,0,1
9,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,2,2,2,0,1,380,0,1
10,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,3,1,2,22,1,400,0,1
11,House,Entire home/apt,Real Bed,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,6,2,6,1,1,527,211,1
12,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,4,1,2,0,1,50,31,1
13,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,5,2,2,0,2,858,75,1
14,Hostel,Private room,Real Bed,1,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,0,1,40,25,2
15,Apartment,Entire home/apt,Real Bed,7,180,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,12,1,40,0,2
16,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,0,1,1,1,966,0,1
17,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,2,2,1,1,220,0,1
18,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,62,1,34,10,1
19,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,2,2,24,2,298,50,2
20,Apartment,Entire home/apt,Real Bed,1,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,0,1,61,1,117,20,1
21,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,4,2,4,3,1,838,0,1
22,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,3,1,1,0,1,150,0,1
23,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,239,1,45,10,1
24,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,1,2,0,1,264,53,1
25,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,9,1,330,0,1
26,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,6,2,3,1,2,135,0,1
27,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,6,2,5,8,2,798,20,4
28,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,8,1,8,1,4,250,40,4
29,Loft,Entire home/apt,Real Bed,2,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,178,1,30,0,1
30,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,0,1,64,1,181,0,1
31,Apartment,Entire home/apt,Real Bed,2,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,2,1,1,1,1,145,0,1
32,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,9,3,4,22,1,180,19,4
33,Loft,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,2,0,1,185,0,1
34,Apartment,Entire home/apt,Real Bed,2,30,flexible,2/11/2019 5:00,2/11/2019 5:00,6,3,3,0,3,746,187,4
35,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,1,2,1,1,499,0,1
36,Apartment,Private room,Real Bed,1,15,flexible,2/11/2019 5:00,2/11/2019 5:00,1,1,1,1,2,149,0,1
37,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,81,1,181,100,1
38,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,27,1,58,60,1
39,Apartment,Private room,Real Bed,1,1125,flexible,3/7/2019 5:00,3/7/2019 5:00,2,1,1,4,1,36,20,2
40,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,4,0,2,5,1,205,0,1
41,House,Entire home/apt,Real Bed,2,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,0,2.5,250,0,1
42,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,0,1,0,1,43,12,1
43,Apartment,Entire home/apt,Real Bed,2,30,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,109,1,185,0,1
44,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,123,1,46,10,1
45,House,Private room,Real Bed,3,365,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,2,8,3.5,64,0,1
46,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,6,2,5,0,2,997,0,1
47,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,3,1,2,29,1,121,0,1
48,Guesthouse,Private room,Real Bed,1,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,1,1,162,1,487,0,1
49,Apartment,Private room,Real Bed,14,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,1,1,1,1,1.5,40,0,1
50,Apartment,Private room,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,2,1,1,0,2,701,0,1
51,Apartment,Private room,Real Bed,1,9,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,2,0,1,50,0,1
52,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,5,2,2,9,1,275,0,1
53,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,14,4,10,32,4,795,0,1
54,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,8,4,8,71,2,100,0,1
55,Apartment,Private room,Real Bed,3,1125,moderate,3/6/2019 5:00,3/6/2019 5:00,1,1,1,2,1,35,0,1
56,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,2,145,1,997,160,2
57,House,Entire home/apt,Real Bed,5,1125,flexible,3/7/2019 5:00,3/7/2019 5:00,6,4,4,0,4,999,0,1
58,Guesthouse,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,146,1,129,0,1
59,Apartment,Entire home/apt,Real Bed,4,90,moderate,3/7/2019 5:00,3/7/2019 5:00,4,1,1,126,1,125,30,2
60,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,4,1,3,135,1,269,42,3
61,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,2,1,1,1,1,101,20,1
62,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,1,3,19,1,229,0,1
63,Apartment,Private room,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,1,1,1,0,1,112,0,1
64,Apartment,Private room,Real Bed,1,1125,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,1,0,1,15,0,1
65,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,4,2,2,104,1,89,10,2
66,House,Entire home/apt,Real Bed,5,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,11,4,8,0,7,2499,0,1
67,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,2,3,20,1,60,8,3
68,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,2,1,1,31,1,105,60,1
69,Apartment,Private room,Real Bed,3,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,1,1,1,10,1,80,0,1
70,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,10,1,997,0,1
71,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,2,1,1,17,1,385,0,2
72,Apartment,Entire home/apt,Real Bed,3,40,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,3,1,1,32,1,58,20,2
73,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,3,1,2,1,1,211,89,1
74,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,3,3,132,1,80,10,2
75,Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,167,1,139,35,2
77,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,2,122,1,40,0,1
78,Bed and breakfast,Private room,Real Bed,1,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,2,1,1,9,1,138,70,2
79,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,3/6/2019 5:00,3/6/2019 5:00,4,1,2,32,1,95,0,1
80,Apartment,Entire home/apt,Real Bed,4,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,3,1,1,0,1,298,0,1
81,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,2,0,1,31,1,29,0,2
82,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,2,1,85,0,1
83,Apartment,Entire home/apt,Real Bed,7,365,flexible,3/11/2019 4:00,3/11/2019 4:00,5,2,2,0,2,801,0,1
84,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,4,0,2,62,1,55,7,2
85,House,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,8,6,6,0,5,1999,0,1
86,Apartment,Entire home/apt,Real Bed,3,1120,moderate,2/11/2019 5:00,2/11/2019 5:00,5,2,3,34,2,451,100,4
87,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,3,1,1,29,1,858,112,3
88,Apartment,Entire home/apt,Real Bed,21,30,moderate,3/6/2019 5:00,3/6/2019 5:00,3,1,3,45,1,212,0,1
89,Apartment,Entire home/apt,Real Bed,10,90,flexible,2/11/2019 5:00,2/11/2019 5:00,4,1,2,0,1,933,0,1
90,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,2,2,1,1,37,0,1
91,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,1,2,0,1,149,40,2
92,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,1,1,144,0,1
93,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,8,4,6,77,2,169,0,10
94,Apartment,Entire home/apt,Real Bed,4,100,moderate,2/11/2019 5:00,2/11/2019 5:00,6,3,7,13,4,933,19,4
95,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,5,3,3,1,3,298,0,1
96,House,Entire home/apt,Real Bed,3,25,moderate,3/6/2019 5:00,3/6/2019 5:00,2,1,1,18,1,72,10,2
97,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2/16/2019 5:00,2/16/2019 5:00,2,0,1,225,1,31,0,1
98,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,1,2,0,1,105,0,1
99,Apartment,Entire home/apt,Real Bed,5,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,4,1,2,13,1,80,0,1
100,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,8,3,4,77,1,264,36,4
101,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,2,18,1,353,50,1
102,Apartment,Private room,Real Bed,2,1125,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,2,1,1,20,0,1
103,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,114,1,120,15,1
104,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,0,1,30,15,1
105,Apartment,Private room,Real Bed,2,45,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,46,1,50,10,1
106,House,Private room,Real Bed,1,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,84,1.5,65,15,1
107,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,8,3,6,139,2,399,35,6
108,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,6,2,5,18,2,351,0,1
109,House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,11,4,6,45,2,325,25,8
110,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,6,2,3,51,1,85,0,6
111,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,3,0,0,115,1,135,25,2
112,Apartment,Entire home/apt,Real Bed,2,89,super_strict_30,2/11/2019 5:00,2/11/2019 5:00,4,1,2,110,1,351,60,2
113,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,0,1,137,0,1
114,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,3,1,3,191,1,40,8,4
115,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,4,1,2,6,1,417,0,1
116,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,103,1.5,185,0,2
117,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,6,3,4,0,3,1999,0,1
118,Apartment,Private room,Real Bed,4,1125,moderate,2/11/2019 5:00,2/11/2019 5:00,1,1,1,1,1,71,0,1
119,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,2,117,1,175,300,2
120,House,Private room,Real Bed,1,1125,moderate,2/11/2019 5:00,2/11/2019 5:00,1,1,1,0,1,101,50,1
121,Bungalow,Entire home/apt,Real Bed,2,300,flexible,3/6/2019 5:00,3/6/2019 5:00,2,0,1,99,1,100,20,1
122,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,2,2,32,2,351,500,4
123,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,2,1,1,11,1,112,0,2
124,Guest suite,Entire home/apt,Real Bed,2,3,moderate,3/7/2019 5:00,3/7/2019 5:00,5,1,4,104,1,45,25,2
125,Condominium,Private room,Real Bed,28,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,179,1,479,150,1
126,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,2,0,1,100,0,1
127,Condominium,Entire home/apt,Real Bed,2,1125,moderate,3/6/2019 5:00,3/6/2019 5:00,4,2,3,65,1.5,125,0,1
128,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,6,2,5,9,2,395,35,4
129,Apartment,Entire home/apt,Real Bed,5,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,4,1,4,0,1,701,0,1
130,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,10,4,6,0,6,3726,0,1
131,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,5,4,4,2,1,31,0,2
132,Apartment,Private room,Real Bed,7,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,1,1,1,0,1,90,40,1
133,Condominium,Entire home/apt,Real Bed,5,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,4,2,3,0,1,134,0,1
134,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,5,2,3,86,1,1703,100,4
135,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,2,3,0,2,746,0,1
136,Apartment,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,8,3,3,89,2,250,50,4
137,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,4,2,2,0,1,172,0,1
138,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,139,1,298,0,1
139,Townhouse,Entire home/apt,Real Bed,1,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,4,0,2,0,1,633,0,1
140,House,Entire home/apt,Real Bed,7,60,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,8,4,5,3,3,500,0,1
141,Apartment,Private room,Real Bed,1,2147483647,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,3,15,1,597,0,1
142,Townhouse,Entire home/apt,Real Bed,7,29,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,2,184,1,110,15,2
143,Hostel,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,203,1,447,0,1
144,Hostel,Private room,Real Bed,3,7,flexible,2/11/2019 5:00,2/11/2019 5:00,2,1,1,1,1,187,0,1
145,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,5,3,3,125,1.5,1146,60,4
146,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,60,1,125,0,1
147,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,18,1,1484,0,1
148,House,Entire home/apt,Real Bed,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,2,2,15,1,359,60,2
149,Apartment,Private room,Real Bed,2,30,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,241,1,47,15,1
150,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,2,1,1,2,2,149,80,1
151,Apartment,Entire home/apt,Real Bed,3,365,moderate,3/8/2019 5:00,3/8/2019 5:00,7,3,7,129,2,130,35,4
152,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,1,1,1,0,1,53,0,1
153,Condominium,Private room,Real Bed,2,30,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,72,1,447,0,2
154,Apartment,Private room,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,0,1,2748,0,1
155,Apartment,Private room,Real Bed,1,1125,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,1,0,1,40,0,1
156,Apartment,Private room,Real Bed,14,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,1,1,21,0,1
157,Apartment,Entire home/apt,Real Bed,4,1124,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,4,2,2,130,1,84,25,2
158,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,1,108,1,25,20,1
159,Apartment,Entire home/apt,Real Bed,4,28,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,3,1,1,215,1,189,10,2
160,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,105,1,400,0,1
161,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,0,1,206,1,463,80,2
162,Apartment,Private room,Real Bed,1,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,2,1,1,0,1.5,60,0,1
163,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,6,2,3,0,2,91,0,1
164,Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,4,2,3,1,2,91,0,1
165,Apartment,Private room,Real Bed,7,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,1,1,1,1,1,47,0,1
166,House,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,8,2,4,44,2,189,25,2
167,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,29,1,128,45,1
168,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,137,1,99,25,2
169,House,Entire home/apt,Real Bed,4,180,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,14,4,8,119,3,169,25,4
170,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,9,1,119,0,2
171,House,Private room,Real Bed,1,60,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,21,1,90,40,1
172,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,44,1,105,0,1
173,Apartment,Private room,Real Bed,30,360,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,3,1,1,13,1,59,25,1
174,Apartment,Entire home/apt,Real Bed,30,90,flexible,3/7/2019 5:00,3/7/2019 5:00,2,1,1,19,1,200,0,1
175,Condominium,Entire home/apt,Real Bed,2,1125,super_strict_30,3/6/2019 5:00,3/6/2019 5:00,8,2,4,103,2,325,25,6
176,Apartment,Entire home/apt,Real Bed,1,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,3,1,1,199,1,110,25,1
177,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,211,1,424,0,1
178,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,6,4,6,43,2,85,0,6
179,Apartment,Entire home/apt,Real Bed,2,365,moderate,3/6/2019 5:00,3/6/2019 5:00,3,0,1,87,1,135,75,3
180,Apartment,Private room,Real Bed,1,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,2,1,1,23,1,31,0,1
181,Apartment,Private room,Real Bed,2,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,4,2,2,57,1,65,25,1
182,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,0,1,95,36,1
183,Loft,Entire home/apt,Real Bed,2,1120,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,4,1,1,380,1,40,10,2
184,Apartment,Private room,Real Bed,3,15,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,2,2,1,70,0,1
185,Apartment,Entire home/apt,Real Bed,60,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,0,1,1,1,298,0,1
186,Apartment,Entire home/apt,Real Bed,3,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,1,1,1,1,793,0,1
187,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,5,2,2,3,1,903,100,3
188,Cabin,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,230,1,109,0,1
189,House,Private room,Real Bed,30,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,1,1,2,2.5,75,0,1
190,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,2,5,2,190,0,1
191,Apartment,Private room,Real Bed,7,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,1,1,1,0,1,100,0,1
192,Condominium,Entire home/apt,Real Bed,7,1123,super_strict_60,3/6/2019 5:00,3/6/2019 5:00,6,2,3,7,2,400,20,4
194,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,1,1,1,12,2,125,60,1
195,House,Private room,Real Bed,1,1125,moderate,3/6/2019 5:00,3/6/2019 5:00,2,1,1,203,1.5,100,0,1
196,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,3,2,2,11,1,761,200,3
197,Apartment,Entire home/apt,Real Bed,31,330,moderate,3/8/2019 5:00,3/8/2019 5:00,2,1,1,6,1,60,0,2
198,Apartment,Entire home/apt,Real Bed,2,300,moderate,2/16/2019 5:00,2/16/2019 5:00,4,1,2,211,1.5,80,15,2
