,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
2742,Apartment,Entire home/apt,Real Bed,3,1125,moderate,3/6/2019 5:00,3/6/2019 5:00,4,1,2,4,1,200,10,1
2743,Apartment,Entire home/apt,Real Bed,32,330,moderate,3/8/2019 5:00,3/8/2019 5:00,3,1,1,0,1,80,0,3
2744,Boutique hotel,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,5,2,4,0,1,833,0,1
2745,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,2,2,5,1,170,25,4
2746,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,2,1,400,0,1
2747,Hostel,Private room,Real Bed,1,30,flexible,2/16/2019 5:00,2/16/2019 5:00,2,1,1,0,1,60,0,1
2748,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,2,1,2,56,1,45,0,1
2749,House,Private room,Real Bed,32,184,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,2,0,2,46,0,1
2750,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,2,1,1,43,1.5,127,60,1
2751,Serviced apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,4,2,3,0,2,160,0,1
2752,Condominium,Entire home/apt,Real Bed,4,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,6,3,3,0,2,1303,0,1
2753,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,6,1,50,0,1
2754,Serviced apartment,Private room,Real Bed,60,90,moderate,3/8/2019 5:00,3/8/2019 5:00,1,1,1,5,2,17,5,1
2755,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,0,1,1,1,424,0,1
2756,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,6,2,3,2,1,70,20,2
2757,Hotel,Private room,Real Bed,1,90,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,2,1,7203,0,1
2758,Apartment,Entire home/apt,Real Bed,1,2,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,0,1,39,1,25,0,1
2759,Apartment,Entire home/apt,Real Bed,31,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,4,1,1,2,1,58,0,1
2760,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,6,3,4,3,2,120,0,1
2761,House,Private room,Real Bed,3,14,flexible,3/7/2019 5:00,3/7/2019 5:00,1,1,1,16,1,70,0,1
2762,Apartment,Entire home/apt,Real Bed,4,180,flexible,2/11/2019 5:00,2/11/2019 5:00,5,3,3,1,3.5,250,60,4
2763,Apartment,Entire home/apt,Real Bed,2,150,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,4,1,2,10,1,32,5,3
2764,Townhouse,Private room,Real Bed,1,14,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,35,1,70,0,1
2765,Other,Entire home/apt,Real Bed,2,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,5,0,2,30,1,99,50,1
2766,Loft,Entire home/apt,Real Bed,1,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,2,1,1,3,1,70,0,2
2767,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,1,1,3,1,250,0,1
2768,House,Private room,Real Bed,2,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,3,1,3,28,1,30,0,1
2769,Apartment,Private room,Real Bed,1,60,flexible,2/11/2019 5:00,2/11/2019 5:00,1,1,1,0,1,104,80,1
2770,Apartment,Entire home/apt,Real Bed,5,14,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,9,1,699,0,1
2771,House,Entire home/apt,Real Bed,31,180,moderate,3/11/2019 4:00,3/11/2019 4:00,4,2,2,16,1,150,0,4
2772,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,3,53,1,68,35,2
2773,Loft,Entire home/apt,Real Bed,2,64,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,4,1,2,44,1,66,21,1
2774,Loft,Private room,Real Bed,3,20,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,1,1,24,1.5,50,0,1
2775,Condominium,Private room,Real Bed,1,365,moderate,3/11/2019 4:00,3/11/2019 4:00,2,1,1,11,1,424,0,1
2776,Guesthouse,Private room,Real Bed,1,1125,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,1,2,1,50,44,1
2777,House,Private room,Real Bed,32,184,flexible,3/11/2019 4:00,3/11/2019 4:00,1,1,1,0,2,35,0,1
2778,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,72,1,353,100,2
2779,Apartment,Entire home/apt,Real Bed,3,140,flexible,3/8/2019 5:00,3/8/2019 5:00,4,0,2,6,1,59,0,1
2780,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,6,2,2,11,1,180,0,1
2781,Apartment,Private room,Real Bed,1,10,moderate,2/18/2019 5:00,2/18/2019 5:00,2,1,1,22,1,295,0,1
2782,Apartment,Entire home/apt,Real Bed,1,28,super_strict_30,3/8/2019 5:00,3/8/2019 5:00,4,2,2,0,1,103,0,4
2783,Apartment,Entire home/apt,Real Bed,4,30,flexible,3/7/2019 5:00,3/7/2019 5:00,4,2,2,0,2,151,0,1
2784,Apartment,Private room,Real Bed,4,11,flexible,3/11/2019 4:00,3/11/2019 4:00,2,1,1,1,1,25,0,1
2785,Serviced apartment,Private room,Real Bed,2,20,flexible,2/18/2019 5:00,2/18/2019 5:00,2,1,1,0,1,79,36,1
2786,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,2,0,1,1,1,68,0,1
2787,Serviced apartment,Entire home/apt,Real Bed,2,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,4,2,3,2,1,761,0,1
2788,Apartment,Entire home/apt,Real Bed,2,31,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,2,4,31,1.5,63,15,4
2789,House,Entire home/apt,Real Bed,5,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,13,7,8,3,3,450,20,13
2790,House,Entire home/apt,Real Bed,1,28,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,3,1,2,3,1,50,25,2
2791,Boutique hotel,Private room,Real Bed,2,1125,moderate,2/18/2019 5:00,2/18/2019 5:00,4,1,3,0,1,174,0,1
